ID;PRODUCTNAME;CODE
232;Košík s uchem modré proutí;5284
233;Košík s uchem modré proutí;5285
234;Košík s uchem modré proutí;5286
235;Košík s uchem ratan mořské řasy;5287
236;Košík trháček zelený;445007
237;Košík vodní hyacint;5545
238;Košík vodní hyacint ;5545+46
239;Košík vodní hyacint set 2 ks;115535
240;Křeslo Betawi;120164
241;Křeslo Centre ratan Kooboo;120116
242;Křeslo Centre ratan Kooboo grey;120118
243;Křeslo Lindsey ratan Kubu white wash;1505
244;Křeslo Oliver;1178
245;Křeslo Oliver polstr Ebony;1178 Ebony
246;Křeslo Penang banánový list OR;120050
247;Křeslo Penang banánový list Y;120051
248;Křeslo Roma ratan Kooboo grey polstr šedomodrý;1496 modrý
249;Křeslo Round banánový list;156280
250;Křeslo Round banánový list polstr ovál;156281
251;Křeslo Wanuta  hnědé polstr bílý;120041+30382
252;Křeslo Wanuta  hnědé polstr INDO;120041
253;Křeslo Wanuta  hnědé polstr modrý;120041+30381
254;Křeslo Wanuta  hnědé polstr okrový;120041+30048
255;Křeslo Wanuta  hnědé polstr vínový;120041+30047
256;Křeslo Wanuta brown wash polstr bílý;120111+30382
257;Křeslo Wanuta brown wash polstr červený;120111+30049
258;Křeslo Wanuta brown wash polstr modrý;120111+30381
259;Křeslo Wanuta brown wash polstr okrový;120111+30048
260;Křeslo Wanuta brown wash polstr vínový;120111+30047
261;Křeslo Wanuta hnědé polstr červený;120041 + 30049
262;Kůň stojící  120 cm;42168
263;Kůň stojící  80 cm;42179
264;Kůň stojící textura bílý;42120-bila
265;Kůň stojící textura černý;42120-cern
266;Květník vodní hyacint ;5595
267;Květník vodní hyacint;5594
268;Květník vodní hyacint kulatý set 4 ks;5606-5609
269;Květník vodní hyacint kulatý vzhledové vady;5489
270;Květník vodní hyacint set 2 kusy;5594 set
271;Květník vodní hyacint světlý;5615
272;Květník vodní hyacint tmavý malý;5614
273;Květník vodní hyacint tmavý střední;5613
274;Květník vodní hyacint tmavý velký;5612
275;Květník vodní hyacint velký ze setu;5487
276;Květník vrba  set 3 kusy ;70076+77+78
277;Květník vrba kulatý set 3 kusy;70073+74+75
278;Květník vrba tmavý kulatý nejmenší ze setu;70075
279;Květník vrba tmavý kulatý největší ze setu ;70073
280;Květník vrba tmavý kulatý střední ze setu;70074
281;Lampa bambusová 100 cm;1528
282;Lampa bambusová 100 cm včetně LED žárovky;1528 + 30430
283;Lampa bambusová malá oválná;1513
284;Lampa bambusová malá oválná včetně LED žárovky;1513 + 30340
285;Lampa bambusová malá rovná;1511
286;Lampa bambusová malá rovná včetně LED žárovky;1511 +30430
287;Lampa bambusová malá X;1512
288;Lampa bambusová malá X včetně LED žárovky;1512 + 30430
289;Lampa bambusová střední;1510
290;Lampa bambusová střední tvar S;1516
291;Lampa bambusová střední tvar S včetně LED žárovky;1516 + 30430
292;Lampa bambusová střední včetně LED žárovky;1510 + 30430
293;Lampa bambusová vysoká ;1509
294;Lampa bambusová vysoká  včetně LED žárovek;1509 + 2x 30430
295;Lampa bambusová vysoká tvar S;1515
296;Lampa bambusová vysoká tvar S včetně LED žárovek;1515 + 2x 30430
297;Lampa ratanová  Alibaba;1529
298;Lampa ratanová Alibaba včetně LED žárovky ;1529 + 30430
299;Lampa ratanová malá ;1517
300;Lampa ratanová malá S;1533
301;Lampa ratanová malá S včetně LED žárovky;1533 + 30430
302;Lampa ratanová malá včetně LED žárovky;1517 + 30430
303;Lampa ratanová střední;1527
304;Lampa ratanová střední včetně LED žárovky;1527 + 30430
305;Lampa ratanová vysoká;1508
306;Lampa ratanová vysoká;1531
307;Lampa ratanová vysoká jehlan;1530
308;Lampa ratanová vysoká jehlan včetně LED žárovky;1530 + 30430
309;Lampa ratanová vysoká tvar S;1514
310;Lampa ratanová vysoká tvar S včetně LED žárovek;1514 + 2x 30430
311;Lampa ratanová vysoká včetně LED žárovek;1508 + 2x 30430
312;Lampa ratanová vysoká včetně LED žárovek;1531+2x30430
313;Lavice Bahama hnědá polstr bílý;153037
314;Látka bílá, metráž;30307
315;Látka hnědý list, metráž;30308
316;Látka okrová kostka metráž;30301
317;Látka vínová, metráž;30305
318;Látka vínový motiv, metráž;30317
319;Maska hantu;42101
320;Maska lidah;42104
321;Maska tanduk;42102
322;Maska triag nose;42107
323;Miska mořská tráva;5501
324;Miska palmový list barevná;5537
325;Miska palmový list čtverec;5539
326;Miska palmový list obdélník;5542
327;Nádoba na zálivku keramika + bambus;90094
328;Novinový stojánek ;1260
329;Nůž filetovací bambus;90098
330;Nůž kuchyňský bambus ;90099
331;Nůž na chléb bambus;90097
332;Nůž universální bambus;90096
333;Obraz Sahara 107x57 světlý rám O11;31094
334;Obraz Sahara 107x57 světlý rám O12;31094 2
335;Obraz Sahara 107x57 světlý rám O13;31094 3
336;Obraz Sahara 107x57 tmavý rám O14;31094 4
337;Obraz Sahara 107x57 tmavý rám O15;31094 5
338;Obraz Sahara 40x40 světlý rám O1;31080
339;Obraz Sahara 44x44 tmavý rám O2;31080 1
340;Obraz Sahara 45x45 tmavý rám O8;31080 2
341;Obraz Sahara 56x30 tmavý rám O3;31082
342;Obraz Sahara 56x56 světlý rám O5;31203
343;Obraz Sahara 76x76 světlý rám O10;31402
344;Obraz Sahara 77x40 světlý rám O4;31002
345;Obraz Sahara 77x40 světlý rám O6;31002 1
346;Obraz Sahara 77x40 tmavý rám O7;31002 3
347;Odpočinková pohovka banánový list;543 OR
348;Odpočinková pohovka banánový list;547
349;Odpočinková pohovka Lazy banánový list polstr hnědý;554
350;Odpočinková pohovka pravá  banánový list polstr hnědý;1385 B
351;Odpočinková pohovka pravá  banánový list polstr oranžový;1385 OR
352;Papoušek L;42176
353;Papoušek M;42177
354;Papoušek S;42178
355;Paravan provázkový barva mahagon;1276
356;Paravan provázkový barva oranžová;1280
357;Paravan provázkový barva světle hnědá;1277
358;Paravan provázkový barva zelená;1279
359;Pelech proutěný;5290
